term,raw_count_domain,tf,df_wikipedia,idf,tfidf_score,in_wikipedia,below_min_df
spectacle,13,3.564949,6746,7.856176,28.006868,true,false
ball,73,5.290459,88064,5.287198,27.971709,true,false
dirt,22,4.091042,18702,6.83659,27.968779,true,false
sealant,5,2.609438,393,10.696678,27.912317,true,false
bad,95,5.553877,116476,5.00758,27.811482,true,false
dome,25,4.218876,24142,6.581279,27.765599,true,false
destructive,18,3.890372,13924,7.131588,27.744528,true,false
surface,107,5.672829,133005,4.874879,27.654356,true,false
silicone,7,2.94591,1536,9.335441,27.501371,true,false
readable,10,3.302585,4227,8.323545,27.489214,true,false
inch,34,4.526361,40556,6.062565,27.441356,true,false
carbon,32,4.465736,37527,6.140186,27.42045,true,false
interval,17,3.833213,13737,7.145108,27.388723,true,false
discoloration,6,2.791759,965,9.799865,27.358866,true,false
computer,101,5.615121,133712,4.869578,27.343267,true,false
terminal,40,4.688879,51688,5.820029,27.289413,true,false
connectors,8,3.079442,2487,8.853794,27.264742,true,false
screen,71,5.26268,98214,5.178115,27.25076,true,false
conduit,9,3.197225,3494,8.51394,27.220979,true,false
intersection,34,4.526361,42966,6.004841,27.180076,true,false
cycle,53,4.970292,73617,5.466384,27.169524,true,false
gasket,5,2.609438,530,10.398267,27.133632,true,false
note,103,5.634729,141795,4.810884,27.108029,true,false
platform,81,5.394449,114692,5.023015,27.096397,true,false
photo,52,4.951244,73225,5.471723,27.091834,true,false
nozzles,6,2.791759,1065,9.70136,27.083864,true,false
unison,9,3.197225,3656,8.46863,27.076114,true,false
bended,4,2.386294,206,11.34031,27.061318,true,false
errosion,2,1.693147,1,15.979882,27.056292,true,true
chaving,2,1.693147,1,15.979882,27.056292,true,true
revieuw,2,1.693147,1,15.979882,27.056292,true,true
rodend,2,1.693147,1,15.979882,27.056292,true,true
visiual,2,1.693147,1,15.979882,27.056292,true,true
coverd,2,1.693147,1,15.979882,27.056292,true,true
shealth,2,1.693147,1,15.979882,27.056292,true,true
lptacc,2,1.693147,1,15.979882,27.056292,true,true
damge,2,1.693147,1,15.979882,27.056292,true,true
posotion,2,1.693147,1,15.979882,27.056292,true,true
resistence,2,1.693147,1,15.979882,27.056292,true,true
clerance,2,1.693147,1,15.979882,27.056292,true,true
probaly,2,1.693147,1,15.979882,27.056292,true,true
